OBJECTID,NEIGH_NO,Neighborhood Name,Neighborhood Type,Neighborhood Subtype,ACS Vinatage,Population 16 years and over,Population 16 years and over not in labor force,Population 16 years and over in civilian labor force,Population 16 years and over in civilian labor force unemployed,Population for whom poverty status is determined,People with Income to Poverty Ratio Under .50,People with Income to Poverty .50 to .99,People with Income to Poverty 1.00 to 1.24,People with Income to Poverty 1.25 to 1.49,People with Income to Poverty 1.50 to 1.84,People with Income to Poverty 1.85 to 1.99,People with Income to Poverty 2.00 and over,Families for whom poverty status is determined,Families with income in the past 12 months below poverty level,Married-couple family with related children of the householder under 18 years below poverty,Married-couple family without related children of the householder under 18 years below poverty,Single parents with related children of the householder under 18 years below poverty,Other family below poverty,Population 20 to 64 years for whom poverty status is determined,Population 20 to 64 years below poverty,Population 20 to 64 years employed,Population 20 to 64 years below poverty employed,People with Income to Poverty below 2.00,Population 20 to 64 years in civilian labor force,Population 20 to 64 years in civilian labor force below poverty,Population 20 to 64 years not in labor force,Population 20 to 64 years not in labor force below poverty,Population 20 to 64 years unemployed,Population 20 to 64 years unemployed below poverty,Neighborhood Type (outside comp plan areas id)
12,11.1,Fremont,CRA,Lake Union,5Y23,17122,2510,14584,434,18373,577,517,162,226,300,125,16466,3288,133,5,63,57,8,15320,772,13709,346,1907,14113,407,1179,365,404,61,CRA
13,11.2,Wallingford,CRA,Lake Union,5Y23,16349,3213,13136,532,18422,1407,836,200,697,501,199,14582,3166,110,12,30,29,39,14327,2057,11961,1043,3840,12404,1199,1923,858,443,156,CRA
14,11.3,Cascade/Eastlake,CRA,Lake Union,5Y23,27801,4791,22974,1177,27955,2026,794,531,839,699,111,22955,3783,152,19,75,58,0,24983,2241,21352,860,5000,22412,1353,2535,888,1060,493,CRA
15,12.1,Magnolia,CRA,Magnolia/Queen Anne,5Y23,10603,3210,7393,144,13750,285,128,177,79,281,146,12654,3834,77,9,58,10,0,7845,231,6463,84,1096,6607,97,1238,134,144,13,CRA
16,12.2,Interbay,CRA,Magnolia/Queen Anne,5Y23,10731,1708,8956,308,11990,533,461,278,180,177,52,10309,2568,71,38,22,11,0,9405,819,8228,411,1681,8519,507,886,312,291,96,CRA
17,12.3,Queen Anne,CRA,Magnolia/Queen Anne,5Y23,41543,8781,32709,1251,43869,2011,1109,403,491,744,488,38623,7914,246,0,44,67,135,34389,2515,29745,798,5246,30778,965,3558,1550,1033,167,CRA
18,13.1,Belltown,CRA,Downtown,5Y23,11126,2202,8904,246,11281,587,609,286,238,207,183,9171,2076,30,0,30,0,0,9986,1068,8382,402,2110,8628,470,1338,598,246,68,CRA
19,13.2,Downtown Commercial Core,CRA,Downtown,5Y23,6155,2053,4057,154,6163,537,525,130,115,131,97,4628,950,37,0,37,0,0,5006,737,3670,79,1535,3802,170,1159,567,132,91,CRA
20,13.3,Pioneer Square/International District,CRA,Downtown,5Y23,6171,2394,3728,239,6507,745,1381,864,278,230,70,2939,783,295,0,221,55,19,4559,1133,3252,486,3568,3483,544,1027,589,231,58,CRA
21,1,Council District 1,CD,,5Y23,91517,24899,66175,2963,107394,4790,4205,2888,2177,3163,1673,88498,25525,976,201,121,421,233,73267,6201,59708,2159,18896,62376,2983,10629,3218,2668,824,CD
22,2,Council District 2,CD,,5Y23,90805,27715,63025,2285,106089,7004,8205,4502,2690,3547,1597,78544,23697,2408,444,726,863,375,69730,7751,55992,3162,27545,57948,3946,11717,3782,1956,784,CD
23,3,Council District 3,CD,,5Y23,99061,23018,75882,3913,106829,6322,4502,2021,1983,3313,1461,87227,18845,902,101,351,345,105,83023,7551,68785,3108,19602,72421,4215,10441,3336,3636,1107,CD
24,4,Council District 4,CD,,5Y23,91550,27842,63656,2880,93873,7895,4580,1812,2003,2509,1106,73968,18862,609,56,149,266,138,67669,10512,53894,4237,19905,55812,4934,11805,5578,1918,697,CD
25,5,Council District 5,CD,,5Y23,90846,25242,65518,2934,105379,4865,5104,2046,1991,3241,1075,87057,23890,1440,163,301,602,374,71180,6472,58239,2242,18322,60839,3094,10255,3378,2600,852,CD
26,6,Council District 6,CD,,5Y23,89490,20015,69368,2292,104797,2761,2655,831,1194,1652,929,94775,23414,602,64,157,298,83,73528,3863,63243,1454,10022,65389,2040,8032,1823,2146,586,CD
27,7,Council District 7,CD,,5Y23,95692,19436,76035,3042,98649,5205,3299,1654,1903,1960,939,83689,17004,523,38,195,155,135,81455,6861,69958,2506,14960,72636,3298,8665,3563,2678,792,CD
28,1.1,Arbor Heights,CRA,Southwest,5Y23,4819,1571,3248,95,6105,190,64,16,46,49,41,5699,1839,49,18,0,31,0,3556,170,2912,32,406,2998,63,558,107,86,31,CRA
29,1.2,Fauntleroy/Seaview,CRA,Southwest,5Y23,12592,3294,9298,297,15042,358,457,96,285,354,33,13459,3865,28,10,8,10,0,9746,597,8271,251,1583,8537,380,1209,217,266,129,CRA
30,1.3,West Seattle Junction/Genesee Hill,CRA,Southwest,5Y23,20307,4876,15414,685,23529,893,565,352,284,374,953,20108,5391,155,45,50,37,23,16479,991,14013,640,3421,14638,680,1824,311,625,40,CRA
31,1.4,Alki/Admiral,CRA,Southwest,5Y23,10477,3322,7155,191,11920,267,203,236,187,179,15,10833,3107,61,0,28,0,33,7808,428,6567,109,1087,6729,163,1079,265,162,54,CRA
32,2.1,North Delridge,CRA,Delridge Neighborhoods,5Y23,5273,1280,3933,308,5803,305,154,58,16,352,63,4855,1145,0,0,0,0,0,4643,436,3574,64,948,3866,207,717,229,292,143,CRA
33,2.2,High Point,CRA,Delridge Neighborhoods,5Y23,7061,2276,4785,195,9132,596,644,1097,391,313,131,5960,2273,196,58,22,60,56,5964,682,4448,110,3172,4632,160,1332,522,184,50,CRA
34,2.3,Riverview,CRA,Delridge Neighborhoods,5Y23,4058,812,3246,83,5014,262,88,0,15,202,33,4414,1220,44,0,0,44,0,3446,166,3023,90,600,3098,105,348,61,75,15,CRA
35,2.4,Roxhill/Westwood,CRA,Delridge Neighborhoods,5Y23,11901,2825,9056,446,13846,605,643,336,162,395,248,11457,3303,161,18,13,98,32,9750,838,8232,145,2389,8579,300,1151,538,347,155,CRA
36,2.5,Highland Park,CRA,Delridge Neighborhoods,5Y23,6775,2242,4517,174,8130,369,200,238,275,653,92,6303,1994,113,0,0,33,80,5200,390,3985,148,1827,4145,157,1039,233,160,9,CRA
37,3.1,South Park,CRA,Greater Duwamish,5Y23,3281,793,2401,160,4003,323,558,198,362,172,9,2381,900,162,52,0,101,9,2651,470,2062,205,1622,2222,255,342,215,160,50,CRA
38,3.2,Georgetown,CRA,Greater Duwamish,5Y23,1066,167,899,6,1181,12,103,53,5,53,31,924,178,0,0,0,0,0,902,107,848,101,257,854,101,48,6,6,0,CRA
39,3.3,Duwamish/SODO,CRA,Greater Duwamish,5Y23,3147,636,2317,127,3165,239,152,24,144,67,21,2518,612,7,0,0,7,0,2387,295,1954,154,647,2081,208,293,87,127,54,CRA
40,3.4,South Beacon Hill/NewHolly,CRA,Greater Duwamish,5Y23,12998,5002,7979,361,15597,1118,2041,1026,506,1065,202,9639,3290,472,171,133,126,42,9459,1482,6967,362,5958,7238,460,2204,1022,271,98,CRA
41,3.5,Beacon Hill,CRA,Greater Duwamish,5Y23,7651,2567,5084,90,9301,395,586,303,117,429,43,7428,2195,219,73,112,34,0,5605,459,4552,249,1873,4635,268,970,191,83,19,CRA
42,3.6,North Beacon Hill/Jefferson Park,CRA,Greater Duwamish,5Y23,13743,3562,10167,305,15184,756,992,603,313,422,213,11885,3550,311,58,107,98,48,10785,1050,9045,481,3299,9312,645,1459,405,267,164,CRA
43,4.1,Rainier Beach,CRA,Southeast,5Y23,12990,3817,9139,401,15864,1139,1140,829,416,708,113,11519,3845,388,47,27,230,84,10249,1223,7998,641,4345,8387,826,1828,374,389,185,CRA
44,4.2,Columbia City,CRA,Southeast,5Y23,17537,4634,12903,244,21059,1311,1376,429,400,410,333,16800,4750,343,47,44,181,71,14288,1166,11916,468,4259,12127,507,2161,659,211,39,CRA
45,4.3,Seward Park,CRA,Southeast,5Y23,8578,2721,5857,153,10896,369,79,150,438,51,497,9312,2785,74,48,26,0,0,6346,252,5250,59,1584,5394,71,952,181,144,12,CRA
46,4.4,Mt. Baker/North Rainier,CRA,Southeast,5Y23,5939,1552,4387,128,7179,284,441,164,118,201,68,5903,1883,194,0,30,53,111,4563,460,3842,272,1276,3970,281,593,179,128,9,CRA
47,5.1,Madrona/Leschi,CRA,Central,5Y23,10072,3485,6510,236,11733,803,247,137,270,411,88,9777,3136,262,17,98,147,0,7534,501,5718,174,1956,5914,191,1543,310,196,17,CRA
48,5.2,Judkins Park,CRA,Central,5Y23,3788,1146,2605,194,4222,384,434,374,267,168,111,2484,654,113,0,33,80,0,2917,329,2312,114,1738,2506,208,374,121,194,94,CRA
49,5.3,Central Area/Squire Park,CRA,Central,5Y23,19601,4361,15193,737,21480,1561,1071,564,317,841,194,16932,3494,145,0,21,92,32,16917,1739,13996,603,4548,14590,732,2280,1007,594,129,CRA
50,6.1,First Hill,CRA,East,5Y23,18702,6039,12663,885,16492,1826,984,437,372,497,157,12219,2425,250,0,145,105,0,13568,1737,10984,578,4273,11683,909,1885,828,699,331,CRA
51,6.2,Capitol Hill,CRA,East,5Y23,26180,3347,22833,1209,26700,1713,1153,673,583,794,726,21058,2494,123,31,37,0,55,24486,2551,21207,1277,5642,22399,1663,2087,888,1192,386,CRA
52,6.3,North Capitol Hill,CRA,East,5Y23,4420,855,3565,153,4773,224,66,26,35,125,63,4234,932,17,0,17,0,0,3856,250,3303,68,539,3456,156,400,94,153,88,CRA
53,6.4,Miller Park,CRA,East,5Y23,7298,2219,5079,168,8233,272,282,41,114,146,142,7236,1830,9,0,0,0,9,5837,382,4567,105,997,4704,181,1133,201,137,76,CRA
54,6.5,Madison Park,CRA,East,5Y23,4933,1920,3013,441,5762,19,72,16,13,205,31,5406,1614,0,0,0,0,0,3299,72,2440,0,356,2881,72,418,0,441,72,CRA
55,7.1,Montlake/Portage Bay,CRA,Northeast,5Y23,8940,2045,6895,391,10314,355,563,75,161,181,38,8941,2414,95,34,26,26,9,7442,707,6137,412,1373,6528,497,914,210,391,85,CRA
56,7.2,University District,CRA,Northeast,5Y23,22571,10142,12429,1043,14049,3881,1486,491,479,773,308,6631,1253,187,14,0,119,54,11825,4581,7962,1732,7418,8332,2026,3493,2555,370,294,CRA
57,7.3,Ravenna/Bryant,CRA,Northeast,5Y23,23569,6669,16890,550,26741,1819,1033,627,396,720,316,21830,5829,102,10,20,39,33,18651,2425,14898,865,4911,15339,1033,3302,1392,441,168,CRA
58,7.4,Wedgwood/View Ridge,CRA,Northeast,5Y23,14244,3911,10320,393,17392,171,514,109,214,278,254,15852,4742,95,6,89,0,0,10857,486,9158,248,1540,9438,265,1406,221,280,17,CRA
59,7.5,Laurelhurst/Sand Point,CRA,Northeast,5Y23,8634,3120,5485,226,11147,350,409,72,66,92,28,10130,3029,76,18,10,44,4,6032,524,4665,203,1017,4861,254,1142,270,196,51,CRA
60,8.1,Northgate/Maple Leaf,CRA,North,5Y23,15064,4879,10185,534,17199,1266,1047,587,304,274,282,13439,3955,502,12,170,203,117,11406,1690,8865,469,3760,9323,527,2083,1163,458,58,CRA
61,0,Outside Villages,UCUV,Outside Villages,5Y23,340150,92665,247082,9084,402638,14775,11738,5933,5735,9839,4791,349827,97543,3136,528,793,1209,606,266199,17835,220723,6877,52811,228766,9049,37097,8786,8043,2172,UCUV-OUT
62,101,Aurora-Licton Springs,UCUV,Residential Urban Village,5Y23,7448,1501,5947,246,8062,579,268,123,293,274,155,6370,1227,62,0,0,13,49,6616,647,5468,155,1692,5709,255,907,392,241,100,UCUV
63,102,Greenwood-Phinney Ridge,UCUV,Residential Urban Village,5Y23,2707,424,2253,75,2880,77,31,98,16,144,0,2514,626,0,0,0,0,0,2469,88,2105,44,366,2180,44,259,44,75,0,UCUV
64,103,Crown Hill,UCUV,Residential Urban Village,5Y23,3577,763,2814,71,4395,66,138,26,12,48,0,4105,1051,41,13,0,28,0,2993,130,2501,8,290,2543,24,450,106,42,16,UCUV
65,106,Upper Queen Anne,UCUV,Residential Urban Village,5Y23,4684,1137,3522,36,4974,174,220,78,32,163,20,4287,949,28,0,28,0,0,3860,351,3238,46,687,3274,47,561,304,36,1,UCUV
66,107,Eastlake,UCUV,Residential Urban Village,5Y23,5663,892,4771,280,5852,257,404,35,106,112,18,4920,954,34,17,0,17,0,5081,571,4317,285,932,4597,402,484,169,280,117,UCUV
67,109,23rd & Union-Jackson,UCUV,Residential Urban Village,5Y23,15043,4341,10652,593,16424,1652,1088,811,357,628,310,11578,3319,401,0,144,244,13,11915,1440,9536,546,4846,10108,769,1757,671,572,223,UCUV
68,110,North Beacon Hill,UCUV,Residential Urban Village,5Y23,6320,1462,4858,145,6966,284,501,176,141,222,127,5515,1622,184,43,100,41,0,5272,412,4491,260,1451,4604,283,668,129,113,23,UCUV
69,111,Columbia City,UCUV,Residential Urban Village,5Y23,6515,1758,4757,96,8214,628,1310,467,106,21,34,5648,1793,277,39,0,119,119,5501,845,4495,337,2566,4566,361,935,484,71,24,UCUV
70,113,Admiral,UCUV,Residential Urban Village,5Y23,2277,771,1506,144,2742,28,44,133,69,99,155,2214,648,8,0,0,8,0,1595,40,1242,34,528,1386,38,209,2,144,4,UCUV
71,114,Bitter Lake Village,UCUV,Hub Urban Village,5Y23,5862,1867,3995,270,6922,376,747,83,166,701,44,4805,1484,186,51,31,81,23,4380,520,3430,220,2117,3700,296,680,224,270,76,UCUV
72,123,Othello,UCUV,Residential Urban Village,5Y23,11987,4228,7752,281,14316,802,1936,814,589,729,357,9089,3031,377,162,111,62,42,9200,1305,7007,377,5227,7234,439,1959,866,227,62,UCUV
73,127,Westwood-Highland Park,UCUV,Residential Urban Village,5Y23,5235,1045,4190,176,6127,55,168,186,114,126,111,5367,1519,19,0,0,0,19,4252,149,3857,69,760,3953,99,299,50,96,30,UCUV
74,128,South Park,UCUV,Residential Urban Village,5Y23,3281,793,2401,160,4003,323,558,198,362,172,9,2381,900,162,52,0,101,9,2651,470,2062,205,1622,2222,255,342,215,160,50,UCUV
75,131,Madison-Miller,UCUV,Residential Urban Village,5Y23,7960,1480,6480,260,8468,474,363,121,212,110,76,7112,1262,15,0,0,15,0,7137,649,6054,167,1356,6314,232,823,417,260,65,UCUV
76,201,Lake City,UCUV,Hub Urban Village,5Y23,4585,1189,3396,150,5355,144,574,231,108,164,60,4074,896,55,40,0,0,15,3721,463,3123,211,1281,3273,267,448,196,150,56,UCUV
77,202,Roosevelt,UCUV,Residential Urban Village,5Y23,4080,627,3453,95,4377,147,208,64,216,105,8,3629,617,0,0,0,0,0,3652,355,3267,206,748,3351,206,301,149,84,0,UCUV
78,203,Wallingford,UCUV,Residential Urban Village,5Y23,6336,1198,5138,223,7424,287,251,96,268,271,65,6186,1340,23,1,9,13,0,5527,450,4750,275,1238,4891,275,636,175,141,0,UCUV
79,204,Rainier Beach,UCUV,Residential Urban Village,5Y23,4911,1485,3403,264,6428,943,508,547,189,139,34,4068,1411,226,18,0,208,0,3858,703,2685,129,2360,2940,311,895,369,255,182,UCUV
80,205,West Seattle Junction,UCUV,Hub Urban Village,5Y23,8337,1598,6675,212,8950,452,447,230,78,249,82,7412,1686,65,45,20,0,0,7216,736,6283,423,1538,6479,482,673,254,196,59,UCUV
81,206,Morgan Junction,UCUV,Residential Urban Village,5Y23,4174,891,3283,157,4907,71,337,48,135,81,0,4235,1163,0,0,0,0,0,3476,366,2958,179,672,3097,278,379,88,139,99,UCUV
82,207,Green Lake,UCUV,Residential Urban Village,5Y23,3544,872,2672,120,3601,106,208,57,238,65,28,2899,576,38,0,0,19,19,2876,260,2473,45,702,2593,71,283,189,120,26,UCUV
83,301,Northgate,UCUV,Urban Center,5Y23,8534,2685,5849,324,9532,994,622,493,205,154,181,6883,2059,421,12,140,152,117,6659,1125,5109,375,2649,5358,409,1301,716,249,34,UCUV
84,302,Fremont,UCUV,Hub Urban Village,5Y23,6852,840,6012,207,7297,359,250,79,106,110,61,6332,1164,62,5,0,57,0,6354,362,5715,148,965,5908,194,446,168,193,46,UCUV
85,303,Ballard,UCUV,Hub Urban Village,5Y23,18925,2724,16155,679,21365,629,734,230,191,166,127,19288,3657,127,0,0,127,0,17045,1045,15075,489,2077,15745,750,1254,295,670,261,UCUV
86,305,Mt Baker,UCUV,Hub Urban Village,5Y23,6555,1964,4591,126,7836,371,489,221,100,182,98,6375,1740,194,0,30,53,111,4921,488,4184,286,1461,4310,286,611,202,126,0,UCUV
87,312,South Lake Union,UCUV,Urban Center,5Y23,11700,1900,9778,508,11785,888,170,180,261,322,18,9946,1277,58,0,0,58,0,10716,940,9255,216,1839,9705,470,989,470,450,254,UCUV
88,401,University District,UCUV,Urban Center,5Y23,28848,12959,15889,1117,19452,5457,2222,877,1053,1191,371,8281,1687,314,10,41,158,105,17042,6728,10958,2493,11171,11386,2848,5656,3880,428,355,UCUV
89,412,Uptown,UCUV,Urban Center,5Y23,12593,2091,10502,561,12624,732,489,235,82,196,55,10835,1881,122,0,0,0,122,11045,935,9724,300,1789,10231,355,814,580,507,55,UCUV
90,413,Downtown,UCUV,Urban Center,5Y23,41847,10750,30753,1341,41163,2965,3311,1594,1485,942,487,30379,6535,463,0,363,81,19,34752,4352,28196,1663,10784,29417,2112,5172,2240,1221,449,UCUV
91,414,First Hill/Capitol Hill,UCUV,Urban Center,5Y23,47962,9165,38763,2308,47434,3741,2201,1237,916,1630,898,36811,5544,362,31,190,86,55,41482,4438,35177,1793,10623,37220,2596,4228,1842,2043,803,UCUV
92,502,Greater Duwamish,UCUV,Manufacturing Industrial,5Y23,469,102,367,0,497,6,15,53,0,30,0,393,76,0,0,0,0,0,389,13,361,7,104,361,7,28,6,0,0,UCUV
